row_number,physical_quantity,physical_symbol,sensor_code,biome,role
197,Cooling valve command,u_AHUD1_CCVlvCmd,Changes cooling capacity available to Desert or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUD1_CCVLVCMD,"Inventory BIOM=5, BIOMNAME=Desert."
198,Cooling valve command,u_AHUD1_TWCCVlvCmd,Changes cooling capacity available to Desert or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUD1_TWCCVLVCMD,"Inventory BIOM=5, BIOMNAME=Desert."
199,Economizer / damper control,u_AHUD1_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for Desert.",UAB2_BIO1_B4000_AHUD1_EDCMD,"Inventory BIOM=5, BIOMNAME=Desert."
200,Economizer / damper control,u_AHUD1_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for Desert.",UAB2_BIO1_B4000_AHUD1_EDPOS,"Inventory BIOM=5, BIOMNAME=Desert."
201,Economizer / damper control,u_AHUD1_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for Desert.",UAB2_BIO1_B4000_AHUD1_EDPOSSP,"Inventory BIOM=5, BIOMNAME=Desert."
202,Heating valve command,u_AHUD1_HCVlvCmd,Changes heating capacity available to Desert or to the shared hot-water loop.,UAB2_BIO1_B4000_AHUD1_HCVLVCMD,"Inventory BIOM=5, BIOMNAME=Desert."
204,Supply fan command,u_AHUD1_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for Desert.",UAB2_BIO1_B4000_AHUD1_SFCMD,"Inventory BIOM=5, BIOMNAME=Desert."
205,Temperature setpoint,u_AHUD1_MaxSATmpSp,Sets target temperature used by equipment serving Desert.,UAB2_BIO1_B4000_AHUD1_MAXSATMPSP,"Inventory BIOM=5, BIOMNAME=Desert."
206,Temperature setpoint,u_AHUD1_MinSATmpSp,Sets target temperature used by equipment serving Desert.,UAB2_BIO1_B4000_AHUD1_MINSATMPSP,"Inventory BIOM=5, BIOMNAME=Desert."
207,Temperature setpoint,u_AHUD1_SATmpSp,Sets target temperature used by equipment serving Desert.,UAB2_BIO1_B4000_AHUD1_SATMPSP,"Inventory BIOM=5, BIOMNAME=Desert."
208,Valve command / position,u_AHUD1_MinVlvPos,Changes hydronic/air/water flow through equipment serving Desert.,UAB2_BIO1_B4000_AHUD1_MINVLVPOS,"Inventory BIOM=5, BIOMNAME=Desert."
209,Cooling valve command,u_AHUD2_CCVlvCmd,Changes cooling capacity available to Desert or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUD2_CCVLVCMD,"Inventory BIOM=5, BIOMNAME=Desert."
210,Cooling valve command,u_AHUD2_TWCCVlvCmd,Changes cooling capacity available to Desert or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUD2_TWCCVLVCMD,"Inventory BIOM=5, BIOMNAME=Desert."
211,Economizer / damper control,u_AHUD2_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for Desert.",UAB2_BIO1_B4000_AHUD2_EDCMD,"Inventory BIOM=5, BIOMNAME=Desert."
212,Economizer / damper control,u_AHUD2_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for Desert.",UAB2_BIO1_B4000_AHUD2_EDPOS,"Inventory BIOM=5, BIOMNAME=Desert."
213,Economizer / damper control,u_AHUD2_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for Desert.",UAB2_BIO1_B4000_AHUD2_EDPOSSP,"Inventory BIOM=5, BIOMNAME=Desert."
214,Heating valve command,u_AHUD2_HCVlvCmd,Changes heating capacity available to Desert or to the shared hot-water loop.,UAB2_BIO1_B4000_AHUD2_HCVLVCMD,"Inventory BIOM=5, BIOMNAME=Desert."
216,Supply fan command,u_AHUD2_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for Desert.",UAB2_BIO1_B4000_AHUD2_SFCMD,"Inventory BIOM=5, BIOMNAME=Desert."
217,Temperature setpoint,u_AHUD2_MaxSATmpSp,Sets target temperature used by equipment serving Desert.,UAB2_BIO1_B4000_AHUD2_MAXSATMPSP,"Inventory BIOM=5, BIOMNAME=Desert."
218,Temperature setpoint,u_AHUD2_MinSATmpSp,Sets target temperature used by equipment serving Desert.,UAB2_BIO1_B4000_AHUD2_MINSATMPSP,"Inventory BIOM=5, BIOMNAME=Desert."
219,Temperature setpoint,u_AHUD2_SATmpSp,Sets target temperature used by equipment serving Desert.,UAB2_BIO1_B4000_AHUD2_SATMPSP,"Inventory BIOM=5, BIOMNAME=Desert."
220,Valve command / position,u_AHUD2_MinVlvPos,Changes hydronic/air/water flow through equipment serving Desert.,UAB2_BIO1_B4000_AHUD2_MINVLVPOS,"Inventory BIOM=5, BIOMNAME=Desert."
221,Cooling valve command,u_AHUD3_CCVlvCmd,Changes cooling capacity available to Desert or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUD3_CCVLVCMD,"Inventory BIOM=5, BIOMNAME=Desert."
222,Cooling valve command,u_AHUD3_TWCCVlvCmd,Changes cooling capacity available to Desert or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUD3_TWCCVLVCMD,"Inventory BIOM=5, BIOMNAME=Desert."
223,Economizer / damper control,u_AHUD3_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for Desert.",UAB2_BIO1_B4000_AHUD3_EDCMD,"Inventory BIOM=5, BIOMNAME=Desert."
224,Economizer / damper control,u_AHUD3_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for Desert.",UAB2_BIO1_B4000_AHUD3_EDPOS,"Inventory BIOM=5, BIOMNAME=Desert."
225,Economizer / damper control,u_AHUD3_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for Desert.",UAB2_BIO1_B4000_AHUD3_EDPOSSP,"Inventory BIOM=5, BIOMNAME=Desert."
226,Heating valve command,u_AHUD3_HCVlvCmd,Changes heating capacity available to Desert or to the shared hot-water loop.,UAB2_BIO1_B4000_AHUD3_HCVLVCMD,"Inventory BIOM=5, BIOMNAME=Desert."
228,Supply fan command,u_AHUD3_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for Desert.",UAB2_BIO1_B4000_AHUD3_SFCMD,"Inventory BIOM=5, BIOMNAME=Desert."
229,Temperature setpoint,u_AHUD3_MaxSATmpSp,Sets target temperature used by equipment serving Desert.,UAB2_BIO1_B4000_AHUD3_MAXSATMPSP,"Inventory BIOM=5, BIOMNAME=Desert."
230,Temperature setpoint,u_AHUD3_MinSATmpSp,Sets target temperature used by equipment serving Desert.,UAB2_BIO1_B4000_AHUD3_MINSATMPSP,"Inventory BIOM=5, BIOMNAME=Desert."
231,Temperature setpoint,u_AHUD3_SATmpSp,Sets target temperature used by equipment serving Desert.,UAB2_BIO1_B4000_AHUD3_SATMPSP,"Inventory BIOM=5, BIOMNAME=Desert."
232,Valve command / position,u_AHUD3_MinVlvPos,Changes hydronic/air/water flow through equipment serving Desert.,UAB2_BIO1_B4000_AHUD3_MINVLVPOS,"Inventory BIOM=5, BIOMNAME=Desert."
258,Cooling valve command,u_AHUL1_CCVlvCmd,Changes cooling capacity available to LEO or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUL1_CCVLVCMD,"Inventory BIOM=3, BIOMNAME=LEO."
259,Cooling valve command,u_AHUL1_TWCCVlvCmd,Changes cooling capacity available to LEO or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUL1_TWCCVLVCMD,"Inventory BIOM=3, BIOMNAME=LEO."
260,Economizer / damper control,u_AHUL1_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL1_EDCMD,"Inventory BIOM=3, BIOMNAME=LEO."
261,Economizer / damper control,u_AHUL1_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL1_EDPOS,"Inventory BIOM=3, BIOMNAME=LEO."
262,Economizer / damper control,u_AHUL1_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL1_EDPOSSP,"Inventory BIOM=3, BIOMNAME=LEO."
263,Heating valve command,u_AHUL1_HCVlvCmd,Changes heating capacity available to LEO or to the shared hot-water loop.,UAB2_BIO1_B4000_AHUL1_HCVLVCMD,"Inventory BIOM=3, BIOMNAME=LEO."
265,Supply fan command,u_AHUL1_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for LEO.",UAB2_BIO1_B4000_AHUL1_SFCMD,"Inventory BIOM=3, BIOMNAME=LEO."
266,Temperature setpoint,u_AHUL1_MaxSATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL1_MAXSATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
267,Temperature setpoint,u_AHUL1_MinSATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL1_MINSATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
268,Temperature setpoint,u_AHUL1_SATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL1_SATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
269,Valve command / position,u_AHUL1_MinVlvPos,Changes hydronic/air/water flow through equipment serving LEO.,UAB2_BIO1_B4000_AHUL1_MINVLVPOS,"Inventory BIOM=3, BIOMNAME=LEO."
270,Cooling valve command,u_AHUL2_CCVlvCmd,Changes cooling capacity available to LEO or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUL2_CCVLVCMD,"Inventory BIOM=3, BIOMNAME=LEO."
271,Cooling valve command,u_AHUL2_TWCCVlvCmd,Changes cooling capacity available to LEO or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUL2_TWCCVLVCMD,"Inventory BIOM=3, BIOMNAME=LEO."
272,Economizer / damper control,u_AHUL2_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL2_EDCMD,"Inventory BIOM=3, BIOMNAME=LEO."
273,Economizer / damper control,u_AHUL2_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL2_EDPOS,"Inventory BIOM=3, BIOMNAME=LEO."
274,Economizer / damper control,u_AHUL2_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL2_EDPOSSP,"Inventory BIOM=3, BIOMNAME=LEO."
275,Heating valve command,u_AHUL2_HCVlvCmd,Changes heating capacity available to LEO or to the shared hot-water loop.,UAB2_BIO1_B4000_AHUL2_HCVLVCMD,"Inventory BIOM=3, BIOMNAME=LEO."
277,Supply fan command,u_AHUL2_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for LEO.",UAB2_BIO1_B4000_AHUL2_SFCMD,"Inventory BIOM=3, BIOMNAME=LEO."
278,Temperature setpoint,u_AHUL2_MaxSATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL2_MAXSATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
279,Temperature setpoint,u_AHUL2_MinSATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL2_MINSATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
280,Temperature setpoint,u_AHUL2_SATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL2_SATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
281,Valve command / position,u_AHUL2_MinVlvPos,Changes hydronic/air/water flow through equipment serving LEO.,UAB2_BIO1_B4000_AHUL2_MINVLVPOS,"Inventory BIOM=3, BIOMNAME=LEO."
282,Cooling valve command,u_AHUL3_CCVlvCmd,Changes cooling capacity available to LEO or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUL3_CCVLVCMD,"Inventory BIOM=3, BIOMNAME=LEO."
283,Cooling valve command,u_AHUL3_TWCCVlvCmd,Changes cooling capacity available to LEO or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUL3_TWCCVLVCMD,"Inventory BIOM=3, BIOMNAME=LEO."
284,Economizer / damper control,u_AHUL3_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL3_EDCMD,"Inventory BIOM=3, BIOMNAME=LEO."
285,Economizer / damper control,u_AHUL3_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL3_EDPOS,"Inventory BIOM=3, BIOMNAME=LEO."
286,Economizer / damper control,u_AHUL3_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL3_EDPOSSP,"Inventory BIOM=3, BIOMNAME=LEO."
287,Heating valve command,u_AHUL3_HCVlvCmd,Changes heating capacity available to LEO or to the shared hot-water loop.,UAB2_BIO1_B4000_AHUL3_HCVLVCMD,"Inventory BIOM=3, BIOMNAME=LEO."
289,Supply fan command,u_AHUL3_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for LEO.",UAB2_BIO1_B4000_AHUL3_SFCMD,"Inventory BIOM=3, BIOMNAME=LEO."
290,Temperature setpoint,u_AHUL3_MaxSATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL3_MAXSATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
291,Temperature setpoint,u_AHUL3_MinSATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL3_MINSATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
292,Temperature setpoint,u_AHUL3_SATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL3_SATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
293,Temperature setpoint,u_AHUL3_SATmpSp1,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL3_SATMPSP1,"Inventory BIOM=3, BIOMNAME=LEO."
294,Valve command / position,u_AHUL3_MinVlvPos,Changes hydronic/air/water flow through equipment serving LEO.,UAB2_BIO1_B4000_AHUL3_MINVLVPOS,"Inventory BIOM=3, BIOMNAME=LEO."
295,Cooling valve command,u_AHUL4_CCVlvCmd,Changes cooling capacity available to LEO or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUL4_CCVLVCMD,"Inventory BIOM=3, BIOMNAME=LEO."
296,Cooling valve command,u_AHUL4_TWCCVlvCmd,Changes cooling capacity available to LEO or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUL4_TWCCVLVCMD,"Inventory BIOM=3, BIOMNAME=LEO."
297,Economizer / damper control,u_AHUL4_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL4_EDCMD,"Inventory BIOM=3, BIOMNAME=LEO."
298,Economizer / damper control,u_AHUL4_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL4_EDPOS,"Inventory BIOM=3, BIOMNAME=LEO."
299,Economizer / damper control,u_AHUL4_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL4_EDPOSSP,"Inventory BIOM=3, BIOMNAME=LEO."
300,Heating valve command,u_AHUL4_HCVlvCmd,Changes heating capacity available to LEO or to the shared hot-water loop.,UAB2_BIO1_B4000_AHUL4_HCVLVCMD,"Inventory BIOM=3, BIOMNAME=LEO."
302,Supply fan command,u_AHUL4_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for LEO.",UAB2_BIO1_B4000_AHUL4_SFCMD,"Inventory BIOM=3, BIOMNAME=LEO."
303,Temperature setpoint,u_AHUL4_MaxSATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL4_MAXSATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
304,Temperature setpoint,u_AHUL4_MinSATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL4_MINSATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
305,Temperature setpoint,u_AHUL4_SATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL4_SATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
306,Temperature setpoint,u_AHUL4_SATmpSp1,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL4_SATMPSP1,"Inventory BIOM=3, BIOMNAME=LEO."
307,Valve command / position,u_AHUL4_MinVlvPos,Changes hydronic/air/water flow through equipment serving LEO.,UAB2_BIO1_B4000_AHUL4_MINVLVPOS,"Inventory BIOM=3, BIOMNAME=LEO."
308,Cooling valve command,u_AHUL5_TWCCVlvCmd,Changes cooling capacity available to LEO or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUL5_TWCCVLVCMD,"Inventory BIOM=3, BIOMNAME=LEO."
309,Economizer / damper control,u_AHUL5_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL5_EDCMD,"Inventory BIOM=3, BIOMNAME=LEO."
310,Economizer / damper control,u_AHUL5_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL5_EDPOS,"Inventory BIOM=3, BIOMNAME=LEO."
311,Economizer / damper control,u_AHUL5_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL5_EDPOSSP,"Inventory BIOM=3, BIOMNAME=LEO."
313,Supply fan command,u_AHUL5_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for LEO.",UAB2_BIO1_B4000_AHUL5_SFCMD,"Inventory BIOM=3, BIOMNAME=LEO."
314,Temperature setpoint,u_AHUL5_MaxSATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL5_MAXSATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
315,Temperature setpoint,u_AHUL5_MinSATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL5_MINSATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
316,Temperature setpoint,u_AHUL5_SATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL5_SATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
317,Valve command / position,u_AHUL5_MinVlvPos,Changes hydronic/air/water flow through equipment serving LEO.,UAB2_BIO1_B4000_AHUL5_MINVLVPOS,"Inventory BIOM=3, BIOMNAME=LEO."
318,Cooling valve command,u_AHUL6_TWCCVlvCmd,Changes cooling capacity available to LEO or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUL6_TWCCVLVCMD,"Inventory BIOM=3, BIOMNAME=LEO."
319,Economizer / damper control,u_AHUL6_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL6_EDCMD,"Inventory BIOM=3, BIOMNAME=LEO."
320,Economizer / damper control,u_AHUL6_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL6_EDPOS,"Inventory BIOM=3, BIOMNAME=LEO."
321,Economizer / damper control,u_AHUL6_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL6_EDPOSSP,"Inventory BIOM=3, BIOMNAME=LEO."
323,Supply fan command,u_AHUL6_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for LEO.",UAB2_BIO1_B4000_AHUL6_SFCMD,"Inventory BIOM=3, BIOMNAME=LEO."
324,Temperature setpoint,u_AHUL6_MaxSATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL6_MAXSATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
325,Temperature setpoint,u_AHUL6_MinSATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL6_MINSATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
326,Temperature setpoint,u_AHUL6_SATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL6_SATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
327,Valve command / position,u_AHUL6_MinVlvPos,Changes hydronic/air/water flow through equipment serving LEO.,UAB2_BIO1_B4000_AHUL6_MINVLVPOS,"Inventory BIOM=3, BIOMNAME=LEO."
328,Cooling valve command,u_AHUL7_TWCCVlvCmd,Changes cooling capacity available to LEO or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUL7_TWCCVLVCMD,"Inventory BIOM=3, BIOMNAME=LEO."
329,Economizer / damper control,u_AHUL7_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL7_EDCMD,"Inventory BIOM=3, BIOMNAME=LEO."
330,Economizer / damper control,u_AHUL7_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL7_EDPOS,"Inventory BIOM=3, BIOMNAME=LEO."
331,Economizer / damper control,u_AHUL7_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL7_EDPOSSP,"Inventory BIOM=3, BIOMNAME=LEO."
333,Supply fan command,u_AHUL7_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for LEO.",UAB2_BIO1_B4000_AHUL7_SFCMD,"Inventory BIOM=3, BIOMNAME=LEO."
334,Temperature setpoint,u_AHUL7_MaxSATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL7_MAXSATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
335,Temperature setpoint,u_AHUL7_MinSATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL7_MINSATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
336,Temperature setpoint,u_AHUL7_SATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL7_SATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
337,Temperature setpoint,u_AHUL7_SATmpSp1,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL7_SATMPSP1,"Inventory BIOM=3, BIOMNAME=LEO."
338,Valve command / position,u_AHUL7_MinVlvPos,Changes hydronic/air/water flow through equipment serving LEO.,UAB2_BIO1_B4000_AHUL7_MINVLVPOS,"Inventory BIOM=3, BIOMNAME=LEO."
339,Cooling valve command,u_AHUL8_TWCCVlvCmd,Changes cooling capacity available to LEO or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUL8_TWCCVLVCMD,"Inventory BIOM=3, BIOMNAME=LEO."
340,Economizer / damper control,u_AHUL8_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL8_EDCMD,"Inventory BIOM=3, BIOMNAME=LEO."
341,Economizer / damper control,u_AHUL8_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL8_EDPOS,"Inventory BIOM=3, BIOMNAME=LEO."
342,Economizer / damper control,u_AHUL8_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL8_EDPOSSP,"Inventory BIOM=3, BIOMNAME=LEO."
344,Supply fan command,u_AHUL8_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for LEO.",UAB2_BIO1_B4000_AHUL8_SFCMD,"Inventory BIOM=3, BIOMNAME=LEO."
345,Temperature setpoint,u_AHUL8_MaxSATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL8_MAXSATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
346,Temperature setpoint,u_AHUL8_MinSATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL8_MINSATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
347,Temperature setpoint,u_AHUL8_SATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL8_SATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
348,Temperature setpoint,u_AHUL8_SATmpSp1,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL8_SATMPSP1,"Inventory BIOM=3, BIOMNAME=LEO."
349,Valve command / position,u_AHUL8_MinVlvPos,Changes hydronic/air/water flow through equipment serving LEO.,UAB2_BIO1_B4000_AHUL8_MINVLVPOS,"Inventory BIOM=3, BIOMNAME=LEO."
350,Cooling valve command,u_AHUL9_TWCCVlvCmd,Changes cooling capacity available to LEO or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUL9_TWCCVLVCMD,"Inventory BIOM=3, BIOMNAME=LEO."
351,Economizer / damper control,u_AHUL9_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL9_EDCMD,"Inventory BIOM=3, BIOMNAME=LEO."
352,Economizer / damper control,u_AHUL9_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL9_EDPOS,"Inventory BIOM=3, BIOMNAME=LEO."
353,Economizer / damper control,u_AHUL9_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for LEO.",UAB2_BIO1_B4000_AHUL9_EDPOSSP,"Inventory BIOM=3, BIOMNAME=LEO."
355,Supply fan command,u_AHUL9_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for LEO.",UAB2_BIO1_B4000_AHUL9_SFCMD,"Inventory BIOM=3, BIOMNAME=LEO."
356,Temperature setpoint,u_AHUL9_MaxSATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL9_MAXSATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
357,Temperature setpoint,u_AHUL9_MinSATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL9_MINSATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
358,Temperature setpoint,u_AHUL9_SATmpSp,Sets target temperature used by equipment serving LEO.,UAB2_BIO1_B4000_AHUL9_SATMPSP,"Inventory BIOM=3, BIOMNAME=LEO."
359,Valve command / position,u_AHUL9_MinVlvPos,Changes hydronic/air/water flow through equipment serving LEO.,UAB2_BIO1_B4000_AHUL9_MINVLVPOS,"Inventory BIOM=3, BIOMNAME=LEO."
378,Temperature setpoint,u_HEX01_ActiveTmpSp,Sets target temperature used by equipment serving Ocean.,UAB2_BIO1_B4000_HEX01_ACTIVETMPSP,"Inventory BIOM=2, BIOMNAME=Ocean."
379,Temperature setpoint,u_HEX01_DeltaTmpSp,Sets target temperature used by equipment serving Ocean.,UAB2_BIO1_B4000_HEX01_DELTATMPSP,"Inventory BIOM=2, BIOMNAME=Ocean."
380,Temperature setpoint,u_HEX01_OceanTmpSp,Sets target temperature used by equipment serving Ocean.,UAB2_BIO1_B4000_HEX01_OCEANTMPSP,"Inventory BIOM=2, BIOMNAME=Ocean."
381,Valve command / position,u_HEX01_CHWVlvOut,Changes hydronic/air/water flow through equipment serving Ocean.,UAB2_BIO1_B4000_HEX01_CHWVLVOUT,"Inventory BIOM=2, BIOMNAME=Ocean."
382,Valve command / position,u_HEX01_ChwVlvPos,Changes hydronic/air/water flow through equipment serving Ocean.,UAB2_BIO1_B4000_HEX01_CHWVLVPOS,"Inventory BIOM=2, BIOMNAME=Ocean."
383,Valve command / position,u_HEX01_HWVlvOut,Changes hydronic/air/water flow through equipment serving Ocean.,UAB2_BIO1_B4000_HEX01_HWVLVOUT,"Inventory BIOM=2, BIOMNAME=Ocean."
384,Valve command / position,u_HEX01_HXRetVlvCmd,Changes hydronic/air/water flow through equipment serving Ocean.,UAB2_BIO1_B4000_HEX01_HXRETVLVCMD,"Inventory BIOM=2, BIOMNAME=Ocean."
385,Valve command / position,u_HEX01_HXSupVlvCmd,Changes hydronic/air/water flow through equipment serving Ocean.,UAB2_BIO1_B4000_HEX01_HXSUPVLVCMD,"Inventory BIOM=2, BIOMNAME=Ocean."
